id,username,type,detail,detected_at
2,m_ny_bride10282023,report,非公開アカウントだった,2026-04-03 18:47:53
3,ann72_wd,report,DM送信済みだった,2026-04-03 18:48:29
4,_ri_wd_25au,report,DM送信済みだった,2026-04-04 22:46:34
5,arisa_wd_37,report,DM送信済みだった,2026-04-04 22:46:44
6,ann72_wd,report,DM送信済みだった,2026-04-04 22:47:00
7,aimily_wedding,report,業者・ベンダーだった,2026-04-06 19:44:14
8,zuudesu0111,report,DM送信済みだった,2026-04-06 19:45:12
9,y_wd_mm,report,DM送信済みだった,2026-04-06 19:45:35
10,__n1029_wd,report,DM送信済みだった,2026-04-06 19:47:44
11,natsu_classica_2026,report,DM送信済みだった,2026-04-06 19:47:52
12,hiroruri._.202524,report,その他,2026-04-06 19:48:10
13,sunu01__wd,report,DM送信済みだった,2026-04-06 19:50:06
14,ami_wedding_,report,DM送信済みだった,2026-04-06 19:50:15
15,taro_wd,report,DM送信済みだった,2026-04-06 19:52:30
16,k_r_s_y_1225,report,DM送信済みだった,2026-04-06 19:55:15
17,n_wedding_1,report,DM送信済みだった,2026-04-06 19:56:04
18,mii_wd0307,report,DM送信済みだった,2026-04-06 19:57:17
19,minmin._.wedding,report,DM送信済みだった,2026-04-06 19:57:24
20,amandan_2505,report,非公開アカウントだった,2026-04-06 19:58:28
21,airi.kaga,report,その他,2026-04-06 19:58:38
22,uiha_777,report,DM送信済みだった,2026-04-06 19:59:54
23,yuenwedding_nagi,report,業者・ベンダーだった,2026-04-06 20:00:41
24,kelly_cinnamonn,report,その他,2026-04-06 20:01:02
25,watanabe_kts,report,業者・ベンダーだった,2026-04-06 20:01:19
26,hina_wd_0707,report,DM送信済みだった,2026-04-06 20:01:46
27,kofu_hanayome,report,業者・ベンダーだった,2026-04-06 20:01:59
28,saa_10.04,report,その他,2026-04-06 20:04:52
29,mii._.wedding_,report,DM送信済みだった,2026-04-07 18:05:35
30,uru__wedding,report,アカウントが存在しない,2026-04-07 18:05:44
31,shoma_pepe,report,DM送信済みだった,2026-04-07 18:09:36
32,fumiaya.newborn,report,業者・ベンダーだった,2026-04-07 18:10:31
33,awesome_wedding2023,report,業者・ベンダーだった,2026-04-07 18:11:37
34,alice_wd_2024,report,DM送信済みだった,2026-04-07 18:12:17
35,s_wg0909,dm_reply,"自動検出 score=13 wed+4,date+5,fol_sweet+3,posts+1",2026-04-12 20:04:02
36,fukawedding2026,follow_back,"自動検出 score=12 wed+4,date+5,fol_sweet+3,posts+1,url-1",2026-04-12 20:04:02
37,takumiho_2023,dm_reply,"自動検出 score=10 wed+6(2),fol_sweet+3,posts+2,url-1",2026-04-13 20:04:30
38,y_wed26,dm_reply,"自動検出 score=15 wed+6(2),date+5,fol_sweet+3,posts+1",2026-04-14 20:04:16
39,my_wd2026,like,写真に複数いいね（1日前・3日前通知で確認）,2026-04-17 08:10:46
